p0170-p0372-p0358,0.038268390490555984,0.874,2
p0021-p0347-p0363,2.89547293594681,0.036,2
p0350-p0147-p0052,0.9774764731157071,0.518,2
p0168-p0328-p0183,0.12329235028974282,0.905,2
p0135-p0177-p0115,1.9298467487728808,0.041,2
p0193-p0012-p0362,1.7565517266187383,0.11,2
p0247-p0015-p0328,0.7271002946009051,0.734,2
p0243-p0099-p0093,1.2831467465539539,0.263,2
p0172-p0118-p0109,1.474126097524982,0.084,2
p0006-p0166-p0079,1.1658868406039833,0.282,2
p0058-p0342-p0020,1.8720658823489105,0.098,2
p0131-p0133-p0192,0.9140947046385977,0.597,2
p0198-p0036-p0298,1.6714036549654425,0.195,2
p0358-p0363-p0266,2.336944021380372,0.082,2
p0055-p0168-p0129,0.8813405002873148,0.564,2
p0109-p0351-p0116,0.9671158351492153,0.567,2
p0195-p0193-p0260,1.2352163870714978,0.307,2
p0063-p0270-p0201,0.7623546337475007,0.69,2
p0130-p0009-p0030,1.3334745435077748,0.153,2
p0054-p0399-p0077,1.2780170663965684,0.226,2
p0186-p0129-p0288,0.4297641259837347,0.852,2
p0163-p0342-p0147,1.7899089844962963,0.124,2
p0153-p0104-p0002,1.4953432951254026,0.145,2
p0124-p0041-p0067,0.8767969336296916,0.593,2
p0323-p0103-p0007,1.5181977872183499,0.137,2
p0285-p0273-p0205,0.40605008121706254,0.775,2
p0104-p0067-p0320,1.4961648368676583,0.135,2
p0326-p0123-p0304,2.045495975202631,0.007,2
p0183-p0176-p0149,1.463130910856937,0.248,2
p0081-p0190-p0104,1.5683824583155537,0.119,2
p0009-p0254-p0058,1.4950025350357738,0.108,2
p0287-p0294-p0344,1.0038628260560212,0.547,2
p0393-p0286-p0328,-0.2533964490464729,0.962,2
p0333-p0124-p0094,0.0855303410711802,0.928,2
p0306-p0126-p0225,1.4452074844124274,0.283,2
p0152-p0326-p0381,2.3513886127092998,0.016,2
p0095-p0056-p0311,1.6335497828112568,0.093,2
p0261-p0237-p0238,2.643712659030695,0.008,2
p0077-p0330-p0001,1.1844263502224368,0.337,2
p0051-p0169-p0222,1.3177031095410716,0.298,2
p0013-p0202-p0370,1.465541077254938,0.233,2
p0059-p0261-p0116,1.5532636830660898,0.172,2
p0156-p0268-p0184,1.163518372923524,0.362,2
p0152-p0101-p0213,0.17483975835378845,0.895,2
p0081-p0262-p0142,0.916854345928639,0.567,2
p0280-p0300-p0316,1.7444734048549613,0.041,2
p0387-p0370-p0352,0.9746112255240115,0.557,2
p0014-p0278-p0171,0.9010834545326123,0.56,2
p0332-p0317-p0196,1.714535588484769,0.041,2
p0082-p0113-p0036,1.413682056017483,0.152,2
p0014-p0126-p0203,1.2905581796531742,0.312,2
p0304-p0328-p0185,1.4240097182741895,0.196,2
p0253-p0120-p0051,2.3838436043174873,0.016,2
p0159-p0256-p0205,1.525728046980295,0.149,2
p0078-p0379-p0077,0.5110841268938522,0.823,2
p0295-p0265-p0037,1.4005613998684594,0.244,2
p0185-p0051-p0017,1.0281349916841775,0.485,2
p0035-p0160-p0045,1.6116908800966114,0.101,2
p0200-p0110-p0222,1.4532950822696225,0.194,2
p0181-p0136-p0343,1.407651082298796,0.193,2
p0051-p0029-p0175,1.2281154796512592,0.278,2
p0003-p0257-p0024,0.5029607545783663,0.815,2
p0231-p0187-p0268,2.003160347814961,0.081,2
p0271-p0144-p0231,0.7820044034948074,0.719,2
p0003-p0014-p0183,1.7861245354857227,0.1,2
p0097-p0101-p0369,0.8058372274228705,0.666,2
p0045-p0364-p0201,1.4768473239550157,0.238,2
p0192-p0228-p0229,1.1903975898479076,0.444,2
p0306-p0209-p0015,1.449320357117637,0.209,2
p0282-p0248-p0269,1.1464124824410147,0.468,2
p0171-p0321-p0058,1.494024073774465,0.175,2
p0273-p0074-p0335,0.8429388968532793,0.606,2
p0048-p0386-p0236,1.5328024451639093,0.196,2
p0399-p0215-p0202,1.9914347992818164,0.074,2
p0262-p0333-p0377,0.023100785063573208,0.924,2
p0319-p0231-p0258,0.3407129705580205,0.888,2
p0247-p0384-p0289,0.6698771846809743,0.687,2
p0324-p0182-p0306,-0.23000287050317414,0.95,2
p0277-p0165-p0299,1.9220848665239,0.019,2
p0262-p0025-p0211,1.200398329687902,0.39,2
p0010-p0061-p0179,1.4887597631652363,0.125,2
p0364-p0378-p0259,1.4704344220972896,0.249,2
p0059-p0217-p0385,1.363001183450472,0.217,2
p0204-p0241-p0293,1.4804598856073647,0.19,2
p0399-p0289-p0377,0.7476862198890905,0.666,2
p0319-p0381-p0153,1.2171783165512868,0.322,2
p0179-p0081-p0141,0.9790935696214468,0.518,2
p0221-p0032-p0333,0.7580250163249783,0.695,2
p0026-p0080-p0039,2.056154642378902,0.022,2
p0376-p0130-p0397-p0345,2.0580683707935052,0.069,2
p0112-p0272-p0164-p0030,0.710174506433454,0.72,2
p0209-p0262-p0153-p0363,2.129274984607854,0.077,2
p0277-p0127-p0213-p0105,0.9453126775671543,0.537,2
p0317-p0139-p0310-p0354,1.2640764330239453,0.261,2
p0026-p0365-p0180-p0148,1.3023104928845104,0.242,2
p0231-p0354-p0355-p0118,1.1656170561607346,0.376,2
p0008-p0113-p0320-p0100,1.41456350158356,0.131,2
p0337-p0360-p0155-p0026,0.4352700700972997,0.806,2
p0282-p0151-p0084-p0346,1.6942892827795832,0.154,2
p0023-p0177-p0287-p0223,1.4353494441057806,0.191,2
p0312-p0014-p0012-p0256,3.4410685320308407,0.026,2
p0173-p0172-p0097-p0074,1.6015719907103636,0.069,2
p0156-p0065-p0095-p0388,0.7124487938368794,0.676,2
p0230-p0226-p0268-p0116,1.6086484473958103,0.172,2
p0069-p0289-p0193-p0147,1.8195228479210048,0.099,2
p0321-p0099-p0205-p0085,1.7366096965819444,0.167,2
p0300-p0239-p0328-p0018,1.1032405435701742,0.393,2
p0320-p0195-p0126-p0115,1.464681747964138,0.263,2
p0295-p0078-p0141-p0357,1.593879387708343,0.147,2
p0089-p0042-p0263-p0050,1.48862920849362,0.153,2
p0003-p0339-p0195-p0266,1.313187212188801,0.326,2
p0079-p0144-p0116-p0030,1.3582433590130494,0.184,2
p0231-p0332-p0288-p0065,0.6145845947630895,0.808,2
p0300-p0139-p0115-p0392,1.5381137843555786,0.192,2
p0311-p0239-p0123-p0164,1.448551649875909,0.199,2
p0080-p0222-p0328-p0279,0.8704362671684255,0.593,2
p0221-p0208-p0192-p0323,1.5301145534709562,0.196,2
p0297-p0064-p0388-p0220,1.9342452898453726,0.12,2
p0108-p0051-p0330-p0171,1.2689466851705498,0.243,2
p0072-p0206-p0093-p0026,1.2635075385321375,0.223,2
p0066-p0007-p0358-p0366,0.7218886594760053,0.739,2
p0304-p0356-p0384-p0174,0.5398662240630505,0.77,2
p0157-p0002-p0216-p0236,0.8367771278262365,0.669,2
p0214-p0354-p0384-p0314,0.959083976009139,0.585,2
p0017-p0238-p0210-p0186,1.812608040095468,0.079,2
p0287-p0125-p0365-p0000,0.6804881205520553,0.75,2
p0029-p0023-p0270-p0011,1.4278281872493674,0.108,2
p0311-p0028-p0266-p0076,1.4618993595147287,0.24,2
p0146-p0022-p0029-p0132,1.6791669377001366,0.065,2
p0198-p0005-p0387-p0051,1.5973331044990167,0.175,2
p0380-p0003-p0241-p0383,1.1071222132140008,0.398,2
p0057-p0141-p0223-p0160,2.0201460947611505,0.02,2
p0194-p0140-p0183-p0341,1.9757087011982657,0.074,2
p0217-p0348-p0034-p0116,1.6877434832101625,0.105,2
p0118-p0122-p0379-p0020,1.1239234251425367,0.426,2
p0206-p0333-p0253-p0143,1.969626986115017,0.082,2
p0392-p0115-p0040-p0060,1.5064829668503825,0.231,2
p0325-p0070-p0385-p0315,1.820236280705574,0.069,2
p0243-p0307-p0324-p0136,1.1741356459605268,0.381,2
p0052-p0130-p0079-p0285,0.3443191589104076,0.828,2
p0294-p0102-p0213-p0079,1.0728561110183326,0.478,2
p0132-p0012-p0037-p0352,0.9341333163484322,0.55,2
p0138-p0107-p0112-p0082,1.6500544910350325,0.105,2
p0126-p0313-p0230-p0069,2.138360515220088,0.055,2
p0110-p0140-p0237-p0363,1.8740770364132797,0.13,2
p0157-p0153-p0107-p0320,1.4965832697075439,0.14,2
p0009-p0092-p0358-p0235,1.4913391486076564,0.171,2
p0397-p0024-p0392-p0103,2.2006719847967045,0.013,2
p0113-p0031-p0259-p0067,1.86497443943632,0.085,2
p0304-p0142-p0018-p0157,0.9304944762844798,0.562,2
p0108-p0342-p0186-p0195,1.57755851150129,0.174,2
p0368-p0074-p0209-p0023,1.819584221726474,0.051,2
p0257-p0090-p0313-p0397,2.148658263544507,0.044,2
p0174-p0223-p0210-p0318,1.2459437024897801,0.355,2
p0227-p0015-p0341-p0160,0.6610105896637007,0.753,2
p0258-p0347-p0173-p0054,1.0814432506525047,0.396,2
p0291-p0028-p0160-p0189,1.4449232050430676,0.184,2
p0003-p0345-p0073-p0015,0.7576092190164684,0.686,2
p0303-p0048-p0371-p0005,1.355337922365032,0.255,2
p0116-p0225-p0122-p0006,1.4203613882698336,0.149,2
p0105-p0120-p0163-p0244,1.6451082469756202,0.136,2
p0032-p0089-p0288-p0138,1.307267859980225,0.29,2
p0087-p0121-p0023-p0243,2.0655462300977807,0.066,2
p0029-p0126-p0145-p0047,1.2171460071021587,0.309,2
p0081-p0145-p0019-p0159,0.4446147603962584,0.873,2
p0238-p0365-p0339-p0036,2.320619890131734,0.023,2
p0355-p0330-p0377-p0068,0.19812611914289466,0.896,2
p0181-p0080-p0009-p0270,1.5265511568183538,0.16,2
p0038-p0180-p0239-p0139,0.767512178111314,0.711,2
p0213-p0358-p0096-p0304,0.9696856010890861,0.545,2
p0204-p0144-p0237-p0153,0.2086509147917426,0.931,2
p0289-p0078-p0093-p0058,1.3757184070391035,0.267,2
p0305-p0274-p0351-p0172,0.3998048083221916,0.821,2
p0032-p0202-p0200-p0361,0.9313849131355886,0.599,2
p0355-p0284-p0172-p0114,1.3436676872919275,0.327,2
p0335-p0280-p0117-p0202,1.400131777804821,0.287,2
p0234-p0309-p0277-p0148,2.886301842167078,0.015,2
p0321-p0361-p0341-p0297,2.542906597852805,0.029,2
p0263-p0328-p0343-p0110,1.2267154968675182,0.33,2
p0184-p0099-p0103-p0108,1.4209303119558523,0.235,2
p0196-p0193-p0154-p0308,1.854418975479993,0.181,2
p0029-p0256-p0074-p0153,1.7915262595381702,0.064,2
p0103-p0121-p0239-p0016,1.9420584778921588,0.092,2
p0180-p0311-p0037-p0088,1.6769751692381005,0.103,2
p0379-p0050-p0111-p0254,0.25427450319312644,0.865,2
p0072-p0110-p0354-p0059,1.2548879382039009,0.223,2
p0381-p0198-p0358-p0047,1.511759403411019,0.257,2
p0334-p0090-p0080-p0199,1.2334991653363179,0.382,2
p0141-p0226-p0268-p0061,1.1862249856953542,0.333,2
p0369-p0062-p0139-p0373,1.179907799925933,0.422,2
p0082-p0145-p0261-p0005,1.155330269326039,0.415,2
p0356-p0175-p0188-p0112,0.7674134941154052,0.673,2
p0040-p0289-p0188-p0247,1.0567714044469607,0.498,2
p0261-p0049-p0003-p0148,1.400764311936274,0.228,2
p0250-p0148-p0346-p0002,1.9764050807161269,0.072,2
p0192-p0224-p0343-p0188,1.0413058246586284,0.466,2
p0256-p0286-p0018-p0151,0.7262896656005977,0.752,2
p0384-p0011-p0110-p0039,1.5925064766612451,0.188,2
p0004-p0130-p0253-p0175,1.0941260215736384,0.496,2
p0256-p0138-p0094-p0369,1.4092786997366646,0.184,2
p0014-p0242-p0392-p0226,0.86926968469303,0.58,2
p0164-p0202-p0067-p0149,1.098251246324279,0.451,2
p0160-p0057-p0297-p0129,2.891378271517346,0.01,2
p0055-p0106-p0179-p0266,1.5445767162068276,0.143,2
p0178-p0310-p0334-p0300,0.7011797263382792,0.763,2
p0380-p0038-p0081-p0263,0.44497996541087353,0.879,2
p0022-p0154-p0342-p0075,2.2839324792722713,0.038,2
p0387-p0342-p0155-p0238,2.3712458174427464,0.036,2
p0027-p0381-p0398-p0119,1.010073995887148,0.485,2
p0354-p0249-p0164-p0104,1.8744229659229825,0.101,2
p0206-p0293-p0094-p0289,1.1319390934668,0.454,2
p0132-p0280-p0291-p0322,2.0053223730625427,0.063,2
p0297-p0360-p0258-p0207,2.578958473960769,0.017,2
p0383-p0155-p0263-p0323,1.6869010473426713,0.105,2
p0045-p0321-p0043-p0137,1.5724392235233255,0.119,2
p0273-p0396-p0303-p0090,1.5925502547764478,0.144,2
p0148-p0054-p0003-p0314,1.092853903928352,0.436,2
p0392-p0198-p0074-p0244,1.0739532374231713,0.476,2
p0364-p0124-p0086-p0282,2.052898051452359,0.053,2
p0372-p0172-p0360-p0061,-0.17845355932907625,0.917,2
p0367-p0231-p0031-p0306,1.1156876335347226,0.501,2
p0352-p0141-p0081-p0079,0.9086198797340099,0.556,2
p0315-p0081-p0365-p0317,1.481834566464121,0.191,2
p0054-p0252-p0287-p0199,1.0914760511772275,0.479,2
p0160-p0101-p0147-p0194,1.2379585334135708,0.343,2
p0377-p0124-p0280-p0380,0.8324198672396592,0.625,2
p0186-p0354-p0151-p0351,0.3980497587126167,0.852,2
p0167-p0156-p0152-p0045,1.3739908466728257,0.282,2
p0031-p0341-p0271-p0065,1.2101068962024626,0.4,2
p0004-p0265-p0230-p0380,1.2094397033316748,0.45,2
p0284-p0072-p0179-p0361,1.1219153166798195,0.456,2
p0393-p0191-p0376-p0067,1.7045475338025056,0.155,2
p0055-p0046-p0237-p0000,1.3331985496107974,0.264,2
p0253-p0000-p0340-p0130,0.7723960598052849,0.682,2
p0114-p0124-p0091-p0247,0.7119038372737075,0.688,2
p0204-p0173-p0377-p0347,1.0176831934110997,0.501,2
p0357-p0115-p0185-p0355,1.1819414211243495,0.418,2
p0387-p0319-p0362-p0077,0.9826466443664932,0.531,2
p0305-p0216-p0126-p0227,0.7416785912829001,0.691,2
p0045-p0398-p0282-p0278,1.734348886177139,0.101,2
p0086-p0031-p0361-p0074,2.040589382372526,0.029,2
p0378-p0383-p0116-p0038,0.9838070445388132,0.545,2
p0247-p0169-p0186-p0216,1.468536139176209,0.213,2
p0156-p0265-p0397-p0190,1.9556905003026128,0.04,2
p0226-p0095-p0153-p0071,1.0121144817295642,0.495,2
p0282-p0324-p0014-p0021,0.5460836121091863,0.771,2
p0328-p0278-p0048-p0354,1.0899667895534022,0.418,2
p0319-p0187-p0100-p0109,3.2857590600954723,0.008,2
p0279-p0385-p0144-p0310,1.0181895512430656,0.499,2
p0093-p0181-p0171-p0002,1.5931563369563697,0.115,2
p0367-p0145-p0323-p0283,0.6891857252686472,0.703,2
p0389-p0023-p0354-p0109,1.9789536657965605,0.023,2
p0202-p0383-p0013-p0017,1.9070068599177135,0.084,2
p0107-p0043-p0364-p0025,1.6619502839684106,0.086,2
p0299-p0265-p0394-p0115,1.670851879833476,0.204,2
p0168-p0394-p0174-p0137,1.4170682268327317,0.272,2
p0171-p0172-p0075-p0182,1.0795062751570061,0.424,2
p0369-p0393-p0175-p0121,1.7862705851346752,0.132,2
p0282-p0337-p0155-p0298,0.603285450043452,0.78,2
p0321-p0299-p0298-p0273,1.105689725564194,0.472,2
p0071-p0220-p0123-p0288,1.2832259296229784,0.281,2
p0216-p0019-p0283-p0067,0.7628084349138905,0.673,2
p0003-p0370-p0328-p0309,1.6486746995017185,0.272,2
p0322-p0352-p0064-p0023,2.0703758713321223,0.09,2
p0117-p0080-p0233-p0142,1.4649118229825624,0.233,2
p0261-p0068-p0233-p0253,1.6062369434293162,0.235,2
p0127-p0074-p0046-p0102,1.0163556444247246,0.466,2
p0214-p0216-p0031-p0001,1.3543565495672125,0.262,2
p0039-p0120-p0126-p0010,2.4188029316739357,0.026,2
p0363-p0108-p0287-p0116,1.3349172780044198,0.312,2
p0010-p0357-p0014-p0262,0.817682953751721,0.643,2
p0117-p0286-p0047-p0046,0.38813381591900076,0.882,2
p0214-p0121-p0343-p0074,2.04828422852258,0.075,2
p0074-p0317-p0147-p0390,2.086045071087897,0.041,2
p0168-p0102-p0073-p0195,-0.20243058442401196,0.992,2
p0364-p0340-p0210-p0315,0.7594403675856007,0.681,2
p0211-p0208-p0259-p0112,2.233035693729155,0.06,2
p0162-p0263-p0333-p0325,1.048847842906304,0.476,2
p0356-p0195-p0350-p0036,0.8100859458773937,0.656,2
p0230-p0382-p0095-p0396,1.851638825374784,0.063,2
p0140-p0238-p0378-p0219,2.0831112245701755,0.051,2
p0299-p0365-p0041-p0091,1.2012728588854307,0.403,2
p0190-p0297-p0091-p0025,1.9026575467980258,0.12,2
p0090-p0312-p0316-p0267,2.326091772908663,0.129,2
p0192-p0122-p0298-p0102,1.0417581966331622,0.476,2
p0084-p0225-p0271-p0273,1.0276583791693024,0.437,2
p0269-p0380-p0171-p0365,1.6120298121580021,0.124,2
p0225-p0316-p0058-p0220,1.5317463759000547,0.152,2
p0287-p0375-p0322-p0195,1.7476013120250355,0.169,2
p0104-p0199-p0153-p0149,1.6836675278675417,0.183,2
p0292-p0193-p0192-p0316,1.3859840454353012,0.183,2
p0140-p0392-p0216-p0361,0.8109933355798911,0.641,2
p0003-p0194-p0052-p0107,1.6898874173700555,0.091,2
p0248-p0081-p0284-p0111,1.1338370175402794,0.422,2
p0258-p0231-p0211-p0079,1.2379867336098076,0.348,2
p0324-p0112-p0039-p0000,0.6382999676182719,0.783,2
p0243-p0362-p0314-p0290,1.4000230232737116,0.32,2
p0042-p0294-p0339-p0217,1.7301318774263825,0.21,2
p0044-p0350-p0266-p0300,1.3180590426104593,0.221,2
p0009-p0050-p0152-p0292,0.974868066807287,0.562,2
p0291-p0170-p0191-p0184,1.4154783128303179,0.273,2
p0149-p0221-p0052-p0031,1.1795876027123093,0.359,2
p0340-p0140-p0272-p0050,0.18041546928210472,0.947,2
p0220-p0239-p0291-p0232,1.3779045434960715,0.205,2
p0184-p0192-p0092-p0129,1.349972909025003,0.249,2
p0271-p0365-p0037-p0042,1.4445460538824186,0.147,2
p0195-p0213-p0166-p0286,0.46674582639485623,0.883,2
p0232-p0066-p0334-p0079,0.7689812001447949,0.703,2
p0220-p0303-p0361-p0337,1.0243292442811838,0.496,2
p0017-p0260-p0265-p0161,0.9853983855679517,0.546,2
p0032-p0048-p0298-p0265,1.2658436516426397,0.326,2
p0324-p0192-p0027-p0005,0.557593969914339,0.819,2
p0066-p0377-p0274-p0113,0.5456696626653785,0.772,2
p0040-p0292-p0073-p0050,0.644017604275762,0.858,2
p0029-p0163-p0066-p0304,1.1586821772136906,0.285,2
p0313-p0346-p0282-p0389,2.0056265586771493,0.088,2
p0311-p0196-p0004-p0062,1.5834802039371707,0.118,2
p0311-p0339-p0101-p0106,1.0095378434391684,0.54,2
p0104-p0025-p0203-p0324,1.376842683509152,0.258,2
p0205-p0187-p0273-p0153,2.770113353241566,0.028,2
p0063-p0264-p0308-p0058,1.1035171333932725,0.492,2
p0007-p0039-p0277-p0098,1.0550212213665275,0.5,2
p0393-p0214-p0350-p0209,1.1321931545791704,0.429,2
p0044-p0221-p0391-p0122,1.2009205985872993,0.3,2
p0189-p0099-p0097-p0027,1.3650421181223398,0.189,2
p0340-p0277-p0067-p0032,-0.0030783159374852672,0.939,2
p0278-p0362-p0298-p0156,1.0089865361048715,0.541,2
p0203-p0154-p0301-p0271,-0.2984279782406878,0.965,2
p0216-p0207-p0305-p0154,0.9627117978867189,0.538,2
p0223-p0234-p0122-p0120,2.2756028962638055,0.017,2
p0283-p0076-p0024-p0140,1.3131457790894465,0.234,2
p0035-p0396-p0370-p0219,1.1715092306161716,0.411,2
p0116-p0087-p0099-p0032,0.7728026757775726,0.694,2
p0163-p0307-p0316-p0083,1.279681174393498,0.266,2
p0131-p0387-p0032-p0137,1.3415914090766075,0.254,2
p0195-p0352-p0288-p0123,1.0490695828859646,0.473,2
p0007-p0295-p0061-p0065,1.4421919842379027,0.225,2
p0367-p0067-p0087-p0059,1.6843102888827732,0.136,2
p0185-p0154-p0222-p0293,0.22614048422069213,0.853,2
p0166-p0396-p0193-p0279,1.2960148859714684,0.267,2
p0088-p0147-p0019-p0025,1.990065135396127,0.048,2
p0141-p0013-p0023-p0083,1.786923954520143,0.026,2
p0137-p0172-p0160-p0010,1.5666999409213391,0.077,2
p0094-p0317-p0220-p0168,0.6566617862100321,0.761,2
p0095-p0083-p0066-p0147,1.363095037415644,0.243,2
p0291-p0398-p0105-p0244,1.7310096432882331,0.074,2
p0241-p0026-p0242-p0131,1.3108811790379749,0.318,2
p0320-p0192-p0020-p0109,1.188437218686695,0.317,2
p0083-p0257-p0189-p0045,1.5225650954085899,0.196,2
p0194-p0225-p0109-p0025,1.4980618358307267,0.098,2
p0085-p0195-p0397-p0173,2.098580461262841,0.014,2
p0188-p0078-p0337-p0009,1.6475691212839338,0.091,2
p0348-p0264-p0196-p0282,1.2368926303007373,0.284,2
p0107-p0243-p0323-p0181,1.3051607149038151,0.271,2
p0219-p0303-p0261-p0066,1.7009159308779147,0.152,2
p0398-p0148-p0382-p0107,2.1202403695522594,0.016,2
p0030-p0292-p0031-p0035,1.551579418410931,0.084,2
p0392-p0330-p0050-p0001,1.060302036242826,0.496,2
p0037-p0134-p0100-p0373,1.2659951373794704,0.368,2
p0368-p0148-p0129-p0094,0.8784589364180364,0.586,2
p0253-p0071-p0189-p0131,1.9298281361139125,0.066,2
p0194-p0301-p0025-p0011,0.6913826502185386,0.784,2
p0200-p0272-p0264-p0027,0.9565712349657953,0.567,2
p0138-p0333-p0102-p0103,1.3988068254190265,0.185,2
p0097-p0111-p0154-p0243,2.0638427318714267,0.017,2
p0312-p0299-p0287-p0217,1.844976271131841,0.24,2
p0188-p0021-p0365-p0118,2.010670896801144,0.048,2
p0398-p0363-p0068-p0322,2.8210044523562883,0.028,2
p0355-p0005-p0130-p0314,0.7295174109486332,0.695,2
p0055-p0223-p0397-p0113,2.3406147021269534,0.01,2
p0065-p0182-p0352-p0095,0.327892717657773,0.834,2
p0109-p0398-p0350-p0345,0.9675464780572207,0.544,2
p0305-p0370-p0247-p0278,1.2717095378865948,0.387,2
p0260-p0059-p0258-p0375,1.9952248080148787,0.067,2
p0074-p0124-p0196-p0306,0.9996901887023133,0.533,2
p0181-p0024-p0035-p0085,1.4135429197513882,0.183,2
p0300-p0064-p0027-p0110,1.44560296336743,0.142,2
p0252-p0024-p0014-p0366,1.4560959298962748,0.195,2
p0075-p0155-p0115-p0290,1.6259044582900006,0.194,2
p0221-p0207-p0365-p0159,1.3846231430079785,0.2,2
p0253-p0307-p0096-p0118,1.352935526703542,0.366,2
p0169-p0138-p0304-p0113,1.7707271375404572,0.06,2
p0090-p0396-p0025-p0164,0.7293416977663131,0.734,2
p0273-p0314-p0156-p0371,1.3441507239114194,0.252,2
p0141-p0313-p0016-p0015,1.8375662366676293,0.098,2
p0166-p0357-p0308-p0174,1.2382962587257766,0.385,2
p0156-p0392-p0283-p0356,1.1623106138713042,0.411,2
p0376-p0073-p0012-p0214,1.7308040167577454,0.083,2
p0117-p0010-p0127-p0169,1.524859599060211,0.144,2
p0272-p0138-p0065-p0233,1.4666552352177238,0.153,2
p0350-p0202-p0207-p0395,1.601620136274305,0.166,2
p0214-p0257-p0244-p0070,1.4394147062617944,0.281,2
p0246-p0042-p0344-p0192,1.0506531393703387,0.515,2
p0010-p0068-p0207-p0149,1.5963548951411894,0.115,2
p0264-p0118-p0106-p0391,0.6352326143573427,0.831,2
p0217-p0216-p0176-p0092,1.3636096808295546,0.267,2
p0120-p0183-p0147-p0210,1.711149009149276,0.163,2
p0299-p0147-p0277-p0284,1.5087958492975713,0.254,2
p0351-p0169-p0181-p0132,1.1757665320433894,0.394,2
p0079-p0209-p0010-p0323,1.5575810423771723,0.121,2
p0292-p0030-p0139-p0254,0.9369419765515656,0.54,2
p0319-p0169-p0209-p0342,1.9494920415383166,0.095,2
p0372-p0197-p0248-p0202,0.5920595291108468,0.72,2
p0206-p0116-p0106-p0292,1.361334614200036,0.185,2
p0388-p0395-p0271-p0229,-0.17632936037988392,0.946,2
p0135-p0109-p0252-p0254,1.5728760659319627,0.078,2
p0125-p0393-p0389-p0246,0.9728057264755627,0.562,2
p0323-p0070-p0343-p0166,2.03661480287296,0.02,2
p0203-p0063-p0350-p0341,0.758862762898127,0.681,2
p0048-p0219-p0161-p0087,0.8274365401868446,0.65,2
p0018-p0232-p0166-p0117,1.2660748596358793,0.255,2
p0038-p0378-p0372-p0065,-0.42010863555319816,0.941,2
p0383-p0363-p0234-p0015,2.866891871640778,0.022,2
p0371-p0129-p0328-p0100,0.9924403463960247,0.509,2
p0062-p0316-p0344-p0373,0.9042866211161932,0.579,2
p0151-p0011-p0094-p0068,1.0181883877652806,0.491,2
p0092-p0364-p0084-p0370,1.7657816934454262,0.098,2
p0195-p0310-p0020-p0341,1.8846506145318198,0.091,2
p0387-p0003-p0183-p0127,1.348067551826025,0.248,2
p0290-p0005-p0184-p0187,2.310168090810759,0.069,2
p0333-p0170-p0064-p0300,1.2456289632375206,0.304,2
p0071-p0078-p0338-p0244,1.3293589853771828,0.267,2
p0030-p0350-p0045-p0137,1.3034424888315923,0.263,2
p0021-p0350-p0005-p0047,1.3839566047964367,0.191,2
p0177-p0078-p0200-p0058,1.5061599400457981,0.109,2
p0010-p0148-p0155-p0005,1.3686067617638358,0.191,2
p0125-p0358-p0348-p0064,0.7006134528546694,0.741,2
p0238-p0130-p0112-p0387,2.374848829928811,0.015,2
p0008-p0223-p0387-p0186,1.38580464923929,0.18,2
p0363-p0177-p0219-p0229,2.0065919617264045,0.115,2
p0262-p0371-p0163-p0295,1.3233754643038536,0.28,2
p0230-p0116-p0132-p0055,1.924112618306846,0.065,2
p0130-p0380-p0370-p0123,1.4421711384912717,0.216,2
p0373-p0116-p0013-p0388,2.446054864468529,0.021,2
p0309-p0226-p0044-p0019,2.2930182623113162,0.064,2
p0014-p0115-p0295-p0371,1.7604612840551266,0.179,2
p0328-p0139-p0071-p0198,1.7334015993817218,0.149,2
p0373-p0025-p0136-p0392,0.6319542384376371,0.726,2
